STATION_ID,STATION_FULLNAME,STATION_SHORTNAME,RESERVED,LATITUDE_DEG,LONGITUDE_DEG,ELEVATION_M,ACTIVE
ESIF,NREL Energy Systems Integration Facility,ESIF,0,39.7427,-105.1701,1793.0,1
NWTC,NREL Flatirons Campus (M2),Flatirons M2,0,39.9106,-105.2347,1855.0,1
SRRLASI,NREL SRRL All Sky Imager (ASI-16),SRRL ASI-16,0,39.7423,-105.1785,1828.8,1
AODSRRLBM,NREL Solar Radiation Research Laboratory (AOD ESR-MRI L2),SRRL AOD MRI-L2,0,39.7423,-105.1785,1828.8,1
AODSRRLAM,NREL Solar Radiation Research Laboratory (AOD ESR-MRI L2A),SRRL AOD MRI-L2A,0,39.7423,-105.1785,1828.8,1
AODSRRLBE,NREL Solar Radiation Research Laboratory (AOD ESR-Sunrad L2),SRRL AOD ESR-L2,0,39.7423,-105.1785,1828.8,1
AODSRRLAE,NREL Solar Radiation Research Laboratory (AOD ESR-Sunrad L2A),SRRL AOD ESR-L2A,0,39.7423,-105.1785,1828.8,1
AODSRRLBC,NREL Solar Radiation Research Laboratory (AOD SR-CEReS L2),SRRL AOD SR-CEReS,0,39.7423,-105.1785,1828.8,1
BMS,NREL Solar Radiation Research Laboratory (BMS),SRRL BMS,0,39.7423,-105.1785,1828.8,1
IRRSP,NREL Solar Radiation Research Laboratory (Irradiance Inc. RSP v2),SRRL RSP2,0,39.7423,-105.1785,1828.8,1
RAZON,NREL Solar Radiation Research Laboratory (RaZON+),SRRL RaZON,0,39.7423,-105.1785,1828.8,1
NELHA,Natural Energy Laboratory of Hawaii Authority (NELHA),NELHA,0,19.728144,-156.058936,4.0,1
OSUBUR,Oregon State University (Burns),OSU Burns,0,43.5192,-119.02162,1270.0,1
OSUHER,Oregon State University (Hermiston),OSU Hermiston,0,45.818441,-119.284721,188.0,1
UAT,SOLRMAP University of Arizona (OASIS),UA OASIS,0,32.22969,-110.95534,786.0,1
AUXB,SRRL Ancillary Data (1-Axis Tracker Status),SRRL 1Ax-Tracker,0,39.7423,-105.1785,1828.8,1
AUXG,SRRL Ancillary Data (Digital Status),SRRL Aux Digital,0,39.7423,-105.1785,1828.8,1
AUXC,SRRL Ancillary Data (High Wind Alerts),SRRL High Wind,0,39.7423,-105.1785,1828.8,1
AUXE,SRRL Ancillary Data (Research Channels #1),SRRL Aux Research1,0,39.7423,-105.1785,1828.8,1
AUXF,SRRL Ancillary Data (Research Channels #2),SRRL Aux Research2,0,39.7423,-105.1785,1828.8,1
AUXD,SRRL Ancillary Data (Tracker and TEC Status),SRRL Aux Tracker,0,39.7423,-105.1785,1828.8,1
AUXA,SRRL Ancillary Data,SRRL Ancillary,0,39.7423,-105.1785,1828.8,1
PVSBMSMP,SRRL PV Resource (BMS-Samples),SRRL PV BMS-Samp,0,39.7423,-105.1785,1828.8,1
PVSFTSMP,SRRL PV Resource (FT-Samples),SRRL PV FT-Samp,0,39.7423,-105.1785,1828.8,1
PVSFT,SRRL PV Resource (Fixed Tilt),SRRL PV-Tilt,0,39.7423,-105.1785,1828.8,1
PVSGHSMP,SRRL PV Resource (GH-Samples),SRRL PV GH-Samp,0,39.7423,-105.1785,1828.8,1
PVSGH,SRRL PV Resource (Global Horiz),SRRL PV-Horiz,0,39.7423,-105.1785,1828.8,1
PVSSASMP,SRRL PV Resource (ST-Samples),SRRL PV ST-Samp,0,39.7423,-105.1785,1828.8,1
PVSSA,SRRL PV Resource,SRRL PV,0,39.7423,-105.1785,1828.8,1
SSIM,SRRL SolarSIM-D2+ Direct Normal,SRRL SSIM,0,39.7423,-105.1785,1828.8,1
SSIMG,SRRL SolarSIM-G Global Horizontal,SRRL SSIMG,0,39.7423,-105.1785,1828.8,1
STAC,Solar Technology Acceleration Center (SolarTAC),SolarTAC,0,39.75685,-104.62025,1674.0,1
UFL,University of Florida,UF,0,29.626968,-82.360851,27.4,1
ULL,University of Louisiana at Lafayette,UL Lafayette,0,30.20506,-92.39793,5.0,1
UNLV,University of Nevada - Las Vegas,UNLV,0,36.107,-115.1425,615.0,1
UOSMRL,University of Oregon (SRML),UO SRML,0,44.0467,-123.0743,133.8,1
UTPASRL,University of Texas Rio Grande Valley Solar Radiation Lab,UTRGV SRL,0,26.3059,-98.1716,45.4,1
UWSEA,University of Washington (Seattle),UW Seattle,0,47.653871,-122.309481,70.0,1
PVSUOSMP,UofO PV Resource (Samples),UO PV-Samp,0,44.0467,-123.0743,133.8,1
PVSUO,UofO PV Resource,UO PV,0,44.0467,-123.0743,133.8,1
